Estabelecimentos encontrados: 262
Tempo DOM: 0.1611s
Tempo SAX: 0.0571s


Estabelecimentos encontrados:

Lat: -12.9802038, Lgt: -38.4514369, Tipo: cafe, Nome: DuckBill Cookies & Coffee
Lat: -12.9792299, Lgt: -38.4517152, Tipo: car, Nome: Fiori
Lat: -12.9793238, Lgt: -38.4515655, Tipo: car, Nome: Bremen
Lat: -12.9818087, Lgt: -38.4498016, Tipo: cafe, Nome: Vovó Dalva
Lat: -12.9790661, Lgt: -38.4548527, Tipo: restaurant, Nome: Outback Steakhouse
Lat: -12.9823234, Lgt: -38.4542912, Tipo: bank, Nome: Banco Santander
Lat: -12.9795169, Lgt: -38.4513990, Tipo: restaurant, Nome: Só Sabor
Lat: -12.9794517, Lgt: -38.4514105, Tipo: money_lender, Nome: BB Cred
Lat: -12.9806364, Lgt: -38.4504465, Tipo: clothes, Nome: Mandacaru
Lat: -12.9788543, Lgt: -38.4550649, Tipo: fast_food, Nome: Contém Churros
Lat: -12.9776773, Lgt: -38.4558952, Tipo: fast_food, Nome: Coxa Coxinha
Lat: -12.9829714, Lgt: -38.4551470, Tipo: clinic, Nome: Clínica Gestar Psi
Lat: -12.9780177, Lgt: -38.4548027, Tipo: clothes, Nome: Amaro
Lat: -12.9793758, Lgt: -38.4610194, Tipo: clinic, Nome: Clínica Osmilto Brandão
Lat: -12.9786131, Lgt: -38.4543245, Tipo: restaurant, Nome: Healthy Salad Bar
Lat: -12.9790139, Lgt: -38.4603415, Tipo: restaurant, Nome: Napoli
Lat: -12.9784651, Lgt: -38.4554693, Tipo: clothes, Nome: Calzedonia
Lat: -12.9822473, Lgt: -38.4591640, Tipo: clothes, Nome: Track&Field
Lat: -12.9776290, Lgt: -38.4561168, Tipo: tea, Nome: Moncloa
Lat: -12.9779906, Lgt: -38.4547382, Tipo: jewelry, Nome: Vivara
Lat: -12.9779099, Lgt: -38.4558885, Tipo: jewelry, Nome: Life Vivara
Lat: -12.9825361, Lgt: -38.4587937, Tipo: supermarket, Nome: Loja Elettromec Salvador
Lat: -12.9793009, Lgt: -38.4533325, Tipo: cafe, Nome: Havanna
Lat: -12.9787839, Lgt: -38.4543543, Tipo: restaurant, Nome: Casa Graviola
